Austria,Vienna
Belgium,Brussels
Bulgaria,Sofia
Croatia,Zagreb
Cyprus,Nicosia
Czech Republic,Prague
Denmark,Copenhagen
Estonia,Tallinn
Finland,Helsinki
France,Paris
Germany,Berlin
Greece,Athens
Hungary,Budapest
Ireland,Dublin
Italy,Rome
Latvia,Riga
Lithuania,Vilnius
Luxembourg,Luxembourg City
Malta,Valletta
Netherlands,Amsterdam
Norway,Oslo
Poland,Warsaw
Portugal,Lisbon
Romania,Bucharest
Slovakia,Bratislava
Slovenia,Ljubljana
Spain,Madrid
Sweden,Stockholm
Switzerland,Bern
United Kingdom,London
